French,python
import,import
importer,import
comme,as
de,from
définir,def
retourner,return
global,global
mondial,global
afficher,print
imprimer,print
lecture,read
lire,read
écrire,write
ouvrir,open
fermer,close
ent,int
entier,int
chaîne,str
flottant,float
si,if
sinon,else
sinonsi,elif
et,and
ou,or
non,not
dans,in
est,is
vrai,True
faux,False
rien,None
tantque,while
pour,for
liste,list
intervalle,range
gamme,range
taille,len
classe,class
soi,self
commencer,init
initialiser,init
essayer,try
sauf,except
pause,break
